"","x"
"167","PG_RotationalJerk_X_MAD"
"168","PG_RotationalJerk_Y_MAD"
"169","PG_RotationalJerk_Z_MAD"
"170","PG_RotationalJerk_X_MAX"
"171","PG_RotationalJerk_Y_MAX"
"172","PG_RotationalJerk_Z_MAX"
"173","PG_RotationalJerk_X_MIN"
"174","PG_RotationalJerk_Y_MIN"
"175","PG_RotationalJerk_Z_MIN"
"176","PG_RotationalJerk_SMA"
"177","PG_RotationalJerk_X_ENERGY"
"178","PG_RotationalJerk_Y_ENERGY"
"179","PG_RotationalJerk_Z_ENERGY"
"180","PG_RotationalJerk_X_IQR"
"181","PG_RotationalJerk_Y_IQR"
"182","PG_RotationalJerk_Z_IQR"
"183","PG_RotationalJerk_X_ENTROPY"
"184","PG_RotationalJerk_Y_ENTROPY"
"185","PG_RotationalJerk_Z_ENTROPY"
"186","PG_RotationalJerk_AR[X,1]"
"187","PG_RotationalJerk_AR[X,2]"
"188","PG_RotationalJerk_AR[X,3]"
"189","PG_RotationalJerk_AR[X,4]"
"190","PG_RotationalJerk_AR[Y,1]"
"191","PG_RotationalJerk_AR[Y,2]"
"192","PG_RotationalJerk_AR[Y,3]"
"193","PG_RotationalJerk_AR[Y,4]"
"194","PG_RotationalJerk_AR[Z,1]"
"195","PG_RotationalJerk_AR[Z,2]"
"196","PG_RotationalJerk_AR[Z,3]"
"197","PG_RotationalJerk_AR[Z,4]"
"198","PG_RotationalJerk_CORR[X,Y]"
"199","PG_RotationalJerk_CORR[X,Z]"
"200","PG_RotationalJerk_CORR[Y,Z]"
"201","PA_Mag_MEAN"
"202","PA_Mag_STD"
"203","PA_Mag_MAD"
"204","PA_Mag_MAX"
"205","PA_Mag_MIN"
"206","PA_Mag_SMA"
"207","PA_Mag_ENERGY"
"208","PA_Mag_IQR"
"209","PA_Mag_ENTROPY"
"210","PA_Mag_AR[1]"
"211","PA_Mag_AR[2]"
"212","PA_Mag_AR[3]"
"213","PA_Mag_AR[4]"
"214","PA_Gravity_Mag_MEAN"
"215","PA_Gravity_Mag_STD"
"216","PA_Gravity_Mag_MAD"
"217","PA_Gravity_Mag_MAX"
"218","PA_Gravity_Mag_MIN"
"219","PA_Gravity_Mag_SMA"
"220","PA_Gravity_Mag_ENERGY"
"221","PA_Gravity_Mag_IQR"
"222","PA_Gravity_Mag_ENTROPY"
"223","PA_Gravity_Mag_AR[1]"
"224","PA_Gravity_Mag_AR[2]"
"225","PA_Gravity_Mag_AR[3]"
"226","PA_Gravity_Mag_AR[4]"
"227","PA_Jerk_Mag_MEAN"
"228","PA_Jerk_Mag_STD"
"229","PA_Jerk_Mag_MAD"
"230","PA_Jerk_Mag_MAX"
"231","PA_Jerk_Mag_MIN"
"232","PA_Jerk_Mag_SMA"
"233","PA_Jerk_Mag_ENERGY"
"234","PA_Jerk_Mag_IQR"
"235","PA_Jerk_Mag_ENTROPY"
"236","PA_Jerk_Mag_AR[1]"
"237","PA_Jerk_Mag_AR[2]"
"238","PA_Jerk_Mag_AR[3]"
"239","PA_Jerk_Mag_AR[4]"
"240","PG_Mag_MEAN"
"241","PG_Mag_STD"
"242","PG_Mag_MAD"
"243","PG_Mag_MAX"
"244","PG_Mag_MIN"
"245","PG_Mag_SMA"
"246","PG_Mag_ENERGY"
"247","PG_Mag_IQR"
"248","PG_Mag_ENTROPY"
"249","PG_Mag_AR[1]"
"250","PG_Mag_AR[2]"
"251","PG_Mag_AR[3]"
"252","PG_Mag_AR[4]"
"253","PG_RotationalJerk_Mag_MEAN"
"254","PG_RotationalJerk_Mag_STD"
"255","PG_RotationalJerk_Mag_MAD"
"256","PG_RotationalJerk_Mag_MAX"
"257","PG_RotationalJerk_Mag_MIN"
"258","PG_RotationalJerk_Mag_SMA"
"259","PG_RotationalJerk_Mag_ENERGY"
"260","PG_RotationalJerk_Mag_IQR"
"261","PG_RotationalJerk_Mag_ENTROPY"
"262","PG_RotationalJerk_Mag_AR[1]"
"263","PG_RotationalJerk_Mag_AR[2]"
"264","PG_RotationalJerk_Mag_AR[3]"
"265","PG_RotationalJerk_Mag_AR[4]"
"266","FFT_PA_X_MEAN"
"267","FFT_PA_Y_MEAN"
"268","FFT_PA_Z_MEAN"
"269","FFT_PA_X_STD"
"270","FFT_PA_Y_STD"
"271","FFT_PA_Z_STD"
"272","FFT_PA_X_MAD"
"273","FFT_PA_Y_MAD"
"274","FFT_PA_Z_MAD"
"275","FFT_PA_X_MAX"
"276","FFT_PA_Y_MAX"
"277","FFT_PA_Z_MAX"
"278","FFT_PA_X_MIN"
"279","FFT_PA_Y_MIN"
"280","FFT_PA_Z_MIN"
"281","FFT_PA_SMA"
"282","FFT_PA_X_ENERGY"
"283","FFT_PA_Y_ENERGY"
"284","FFT_PA_Z_ENERGY"
"285","FFT_PA_X_IQR"
"286","FFT_PA_Y_IQR"
"287","FFT_PA_Z_IQR"
"288","FFT_PA_X_ENTROPY"
"289","FFT_PA_Y_ENTROPY"
"290","FFT_PA_Z_ENTROPY"
"291","FFT_PA__MaxInds"
"292","FFT_PA__MaxInds"
"293","FFT_PA__MaxInds"
"294","FFT_PA_X_MeanFreq"
"295","FFT_PA_Y_MeanFreq"
"296","FFT_PA_Z_MeanFreq"
"297","FFT_PA_X_SKEW"
"298","FFT_PA_X_KURT"
"299","FFT_PA_Y_SKEW"
"300","FFT_PA_Y_KURT"
"301","FFT_PA_Z_SKEW"
"302","FFT_PA_Z_KURT"
"303","FFT_PA_Band[1,8]"
"304","FFT_PA_Band[9,16]"
"305","FFT_PA_Band[17,24]"
"306","FFT_PA_Band[25,32]"
"307","FFT_PA_Band[33,40]"
"308","FFT_PA_Band[41,48]"
"309","FFT_PA_Band[49,56]"
"310","FFT_PA_Band[57,64]"
"311","FFT_PA_Band[1,16]"
"312","FFT_PA_Band[17,32]"
"313","FFT_PA_Band[33,48]"
"314","FFT_PA_Band[49,64]"
"315","FFT_PA_Band[1,24]"
"316","FFT_PA_Band[25,48]"
"317","FFT_PA_Band[1,8]"
"318","FFT_PA_Band[9,16]"
"319","FFT_PA_Band[17,24]"
"320","FFT_PA_Band[25,32]"
"321","FFT_PA_Band[33,40]"
"322","FFT_PA_Band[41,48]"
"323","FFT_PA_Band[49,56]"
"324","FFT_PA_Band[57,64]"
"325","FFT_PA_Band[1,16]"
"326","FFT_PA_Band[17,32]"
"327","FFT_PA_Band[33,48]"
"328","FFT_PA_Band[49,64]"
"329","FFT_PA_Band[1,24]"
"330","FFT_PA_Band[25,48]"
"331","FFT_PA_Band[1,8]"
"332","FFT_PA_Band[9,16]"
"333","FFT_PA_Band[17,24]"
"334","FFT_PA_Band[25,32]"
"335","FFT_PA_Band[33,40]"
"336","FFT_PA_Band[41,48]"
"337","FFT_PA_Band[49,56]"
"338","FFT_PA_Band[57,64]"
"339","FFT_PA_Band[1,16]"
"340","FFT_PA_Band[17,32]"
"341","FFT_PA_Band[33,48]"
"342","FFT_PA_Band[49,64]"
"343","FFT_PA_Band[1,24]"
"344","FFT_PA_Band[25,48]"
"345","FFT_PA_Jerk_X_MEAN"
"346","FFT_PA_Jerk_Y_MEAN"
"347","FFT_PA_Jerk_Z_MEAN"
"348","FFT_PA_Jerk_X_STD"
"349","FFT_PA_Jerk_Y_STD"
"350","FFT_PA_Jerk_Z_STD"
"351","FFT_PA_Jerk_X_MAD"
"352","FFT_PA_Jerk_Y_MAD"
"353","FFT_PA_Jerk_Z_MAD"
"354","FFT_PA_Jerk_X_MAX"
"355","FFT_PA_Jerk_Y_MAX"
"356","FFT_PA_Jerk_Z_MAX"
"357","FFT_PA_Jerk_X_MIN"
"358","FFT_PA_Jerk_Y_MIN"
"359","FFT_PA_Jerk_Z_MIN"
"360","FFT_PA_Jerk_SMA"
"361","FFT_PA_Jerk_X_ENERGY"
"362","FFT_PA_Jerk_Y_ENERGY"
"363","FFT_PA_Jerk_Z_ENERGY"
"364","FFT_PA_Jerk_X_IQR"
"365","FFT_PA_Jerk_Y_IQR"
"366","FFT_PA_Jerk_Z_IQR"
"367","FFT_PA_Jerk_X_ENTROPY"
"368","FFT_PA_Jerk_Y_ENTROPY"
"369","FFT_PA_Jerk_Z_ENTROPY"
"370","FFT_PA_Jerk__MaxInds"
"371","FFT_PA_Jerk__MaxInds"
"372","FFT_PA_Jerk__MaxInds"
"373","FFT_PA_Jerk_X_MeanFreq"
"374","FFT_PA_Jerk_Y_MeanFreq"
"375","FFT_PA_Jerk_Z_MeanFreq"
"376","FFT_PA_Jerk_X_SKEW"
"377","FFT_PA_Jerk_X_KURT"
"378","FFT_PA_Jerk_Y_SKEW"
"379","FFT_PA_Jerk_Y_KURT"
"380","FFT_PA_Jerk_Z_SKEW"
"381","FFT_PA_Jerk_Z_KURT"
"382","FFT_PA_Jerk_Band[1,8]"
"383","FFT_PA_Jerk_Band[9,16]"
"384","FFT_PA_Jerk_Band[17,24]"
"385","FFT_PA_Jerk_Band[25,32]"
"386","FFT_PA_Jerk_Band[33,40]"
"387","FFT_PA_Jerk_Band[41,48]"
"388","FFT_PA_Jerk_Band[49,56]"
"389","FFT_PA_Jerk_Band[57,64]"
"390","FFT_PA_Jerk_Band[1,16]"
"391","FFT_PA_Jerk_Band[17,32]"
"392","FFT_PA_Jerk_Band[33,48]"
"393","FFT_PA_Jerk_Band[49,64]"
"394","FFT_PA_Jerk_Band[1,24]"
"395","FFT_PA_Jerk_Band[25,48]"
"396","FFT_PA_Jerk_Band[1,8]"
"397","FFT_PA_Jerk_Band[9,16]"
"398","FFT_PA_Jerk_Band[17,24]"
"399","FFT_PA_Jerk_Band[25,32]"
"400","FFT_PA_Jerk_Band[33,40]"
"401","FFT_PA_Jerk_Band[41,48]"
"402","FFT_PA_Jerk_Band[49,56]"
"403","FFT_PA_Jerk_Band[57,64]"
"404","FFT_PA_Jerk_Band[1,16]"
"405","FFT_PA_Jerk_Band[17,32]"
"406","FFT_PA_Jerk_Band[33,48]"
"407","FFT_PA_Jerk_Band[49,64]"
"408","FFT_PA_Jerk_Band[1,24]"
"409","FFT_PA_Jerk_Band[25,48]"
"410","FFT_PA_Jerk_Band[1,8]"
"411","FFT_PA_Jerk_Band[9,16]"
"412","FFT_PA_Jerk_Band[17,24]"
"413","FFT_PA_Jerk_Band[25,32]"
"414","FFT_PA_Jerk_Band[33,40]"
"415","FFT_PA_Jerk_Band[41,48]"
"416","FFT_PA_Jerk_Band[49,56]"
"417","FFT_PA_Jerk_Band[57,64]"
"418","FFT_PA_Jerk_Band[1,16]"
"419","FFT_PA_Jerk_Band[17,32]"
"420","FFT_PA_Jerk_Band[33,48]"
"421","FFT_PA_Jerk_Band[49,64]"
"422","FFT_PA_Jerk_Band[1,24]"
"423","FFT_PA_Jerk_Band[25,48]"
"424","FFT_PG_X_MEAN"
"425","FFT_PG_Y_MEAN"
"426","FFT_PG_Z_MEAN"
"427","FFT_PG_X_STD"
"428","FFT_PG_Y_STD"
"429","FFT_PG_Z_STD"
"430","FFT_PG_X_MAD"
"431","FFT_PG_Y_MAD"
"432","FFT_PG_Z_MAD"
"433","FFT_PG_X_MAX"
"434","FFT_PG_Y_MAX"
"435","FFT_PG_Z_MAX"
"436","FFT_PG_X_MIN"
"437","FFT_PG_Y_MIN"
"438","FFT_PG_Z_MIN"
"439","FFT_PG_SMA"
"440","FFT_PG_X_ENERGY"
"441","FFT_PG_Y_ENERGY"
"442","FFT_PG_Z_ENERGY"
"443","FFT_PG_X_IQR"
"444","FFT_PG_Y_IQR"
"445","FFT_PG_Z_IQR"
"446","FFT_PG_X_ENTROPY"
"447","FFT_PG_Y_ENTROPY"
"448","FFT_PG_Z_ENTROPY"
"449","FFT_PG__MaxInds"
"450","FFT_PG__MaxInds"
"451","FFT_PG__MaxInds"
"452","FFT_PG_X_MeanFreq"
"453","FFT_PG_Y_MeanFreq"
"454","FFT_PG_Z_MeanFreq"
"455","FFT_PG_X_SKEW"
"456","FFT_PG_X_KURT"
"457","FFT_PG_Y_SKEW"
"458","FFT_PG_Y_KURT"
"459","FFT_PG_Z_SKEW"
"460","FFT_PG_Z_KURT"
"461","FFT_PG_Band[1,8]"
"462","FFT_PG_Band[9,16]"
"463","FFT_PG_Band[17,24]"
"464","FFT_PG_Band[25,32]"
"465","FFT_PG_Band[33,40]"
"466","FFT_PG_Band[41,48]"
"467","FFT_PG_Band[49,56]"
"468","FFT_PG_Band[57,64]"
"469","FFT_PG_Band[1,16]"
"470","FFT_PG_Band[17,32]"
"471","FFT_PG_Band[33,48]"
"472","FFT_PG_Band[49,64]"
"473","FFT_PG_Band[1,24]"
"474","FFT_PG_Band[25,48]"
"475","FFT_PG_Band[1,8]"
"476","FFT_PG_Band[9,16]"
"477","FFT_PG_Band[17,24]"
"478","FFT_PG_Band[25,32]"
"479","FFT_PG_Band[33,40]"
"480","FFT_PG_Band[41,48]"
"481","FFT_PG_Band[49,56]"
"482","FFT_PG_Band[57,64]"
"483","FFT_PG_Band[1,16]"
"484","FFT_PG_Band[17,32]"
"485","FFT_PG_Band[33,48]"
"486","FFT_PG_Band[49,64]"
"487","FFT_PG_Band[1,24]"
"488","FFT_PG_Band[25,48]"
"489","FFT_PG_Band[1,8]"
"490","FFT_PG_Band[9,16]"
"491","FFT_PG_Band[17,24]"
"492","FFT_PG_Band[25,32]"
"493","FFT_PG_Band[33,40]"
"494","FFT_PG_Band[41,48]"
"495","FFT_PG_Band[49,56]"
"496","FFT_PG_Band[57,64]"
"497","FFT_PG_Band[1,16]"
"498","FFT_PG_Band[17,32]"
"499","FFT_PG_Band[33,48]"
"500","FFT_PG_Band[49,64]"
"501","FFT_PG_Band[1,24]"
"502","FFT_PG_Band[25,48]"
"503","FFT_PA_Mag_MEAN"
"504","FFT_PA_Mag_STD"
"505","FFT_PA_Mag_MAD"
"506","FFT_PA_Mag_MAX"
"507","FFT_PA_Mag_MIN"
"508","FFT_PA_Mag_SMA"
"509","FFT_PA_Mag_ENERGY"
"510","FFT_PA_Mag_IQR"
"511","FFT_PA_Mag_ENTROPY"
"512","FFT_PA_Mag_MaxInds"
"513","FFT_PA_Mag_MeanFreq"
"514","FFT_PA_Mag_SKEW"
"515","FFT_PA_Mag_KURT"
"516","FFT_PA_Jerk_Mag_MEAN"
"517","FFT_PA_Jerk_Mag_STD"
"518","FFT_PA_Jerk_Mag_MAD"
"519","FFT_PA_Jerk_Mag_MAX"
"520","FFT_PA_Jerk_Mag_MIN"
"521","FFT_PA_Jerk_Mag_SMA"
"522","FFT_PA_Jerk_Mag_ENERGY"
"523","FFT_PA_Jerk_Mag_IQR"
"524","FFT_PA_Jerk_Mag_ENTROPY"
"525","FFT_PA_Jerk_Mag_MaxInds"
"526","FFT_PA_Jerk_Mag_MeanFreq"
"527","FFT_PA_Jerk_Mag_SKEW"
"528","FFT_PA_Jerk_Mag_KURT"
"529","FFT_PG_Gyro_Mag_MEAN"
"530","FFT_PG_Gyro_Mag_STD"
"531","FFT_PG_Gyro_Mag_MAD"
"532","FFT_PG_Gyro_Mag_MAX"
"533","FFT_PG_Gyro_Mag_MIN"
"534","FFT_PG_Gyro_Mag_SMA"
"535","FFT_PG_Gyro_Mag_ENERGY"
"536","FFT_PG_Gyro_Mag_IQR"
"537","FFT_PG_Gyro_Mag_ENTROPY"
"538","FFT_PG_Gyro_Mag_MaxInds"
"539","FFT_PG_Gyro_Mag_MeanFreq"
"540","FFT_PG_Gyro_Mag_SKEW"
"541","FFT_PG_Gyro_Mag_KURT"
"542","FFT_PG_RotationJerk_Mag_MEAN"
"543","FFT_PG_RotationJerk_Mag_STD"
"544","FFT_PG_RotationJerk_Mag_MAD"
"545","FFT_PG_RotationJerk_Mag_MAX"
"546","FFT_PG_RotationJerk_Mag_MIN"
"547","FFT_PG_RotationJerk_Mag_SMA"
"548","FFT_PG_RotationJerk_Mag_ENERGY"
"549","FFT_PG_RotationJerk_Mag_IQR"
"550","FFT_PG_RotationJerk_Mag_ENTROPY"
"551","FFT_PG_RotationJerk_Mag_MaxInds"
"552","FFT_PG_RotationJerk_Mag_MeanFreq"
"553","FFT_PG_RotationJerk_Mag_SKEW"
"554","FFT_PG_RotationJerk_Mag_KURT"
"555","Angle PA_Object_MEAN, Gravity"
"556","Angle PA_Jerk_MEAN, Gravity"
"557","Angle PG_Object_MEAN, Gravity"
"558","Angle PG_Jerk_MEAN, Gravity"
"559","Angle X, Gravity"
"560","Angle Y, Gravity"
"561","Angle Z, Gravity"
